"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Administering IC","Application ID","Award Notice Date","Opportunity Number","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Total Cost IC",
"No NIH Category available"," ","TRAINING NAVIGATOR CCSG SUPPLEMENT","OVERALL: PROJECT NARRATIVEThe mission of the Massey Cancer Center (MCC) is to reduce the state cancer burden for all Virginians byaddressing the confluence between biological social and policy drivers through high-impact cutting-edgeresearch; person-centered care across the continuum from prevention through survivorship; communityintegration; and training the next generation of community-centric researchers and healthcare professionals. Thecore of this mission has been supported by the National Cancer Institutes Cancer Center Support Grant (CCSG)since 1975 and the MCC is seeking renewal of this award for another five years. The CCSG supports effortsacross the MCC senior and programmatic leadership; administration; community outreach and engagement;cancer research training and education coordination; promotion of center-wide diversity equity and inclusion;shared resource support and management; clinical research infrastructure; and developmental funding tosupporting team-based transdisciplinary research strategies focused on well-defined catchment area priorities.","3116287","WINN, ROBERT A.","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","105300446","MLQFL4JSSAA9","105300446","MLQFL4JSSAA9","US","37.549807","-77.452775","353201","VIRGINIA COMMONWEALTH UNIVERSITY","RICHMOND","VA","SCHOOLS OF MEDICINE","232980568","UNITED STATES","N","5/1/2024 12:00:00 AM","4/30/2025 12:00:00 AM","397","Research Centers","2024","198582"," ","NCI","127911","70671"," ","NCI","11140707","9/10/2024 12:00:00 AM","PA-20-272","3P30CA016059-42S2","3","P30","CA","016059","42","S2","BELIN, PRECILLA L","12/1/1995 12:00:00 AM","4/30/2028 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]"," ","198582",
"No NIH Category available"," ","Disparities in breast cancer treatment using Granulocyte colony-stimulating factors and CDK4/6 inhibitors between African and European ancestry individuals in two large Electronic Health Records","PROJECT NARRATIVE: OVERALLThe well-established Meharry Medical College/Vanderbilt-Ingram Cancer Center/Tennessee State UniversityCancer Partnership (MVTCP) triad provides an exceptional environment to identify and address health careinequities in cancer seen in underrepresented minorities. The proposed research projects cores and sharedresource cores will grow research and propose evidence-based solutions address to these inequities. Furtherthe development of expanded research infrastructure at MMC and TSU enhancement of minority educationprograms and improvement to the effectiveness of cancer-related activities will address health care disparitiesin the greater Nashville geographical region with the ultimate goal of contributing to reducing health disparitiesamong cancer patients in minority and underserved communities.","7846044","PAL, TUYA ","WINKFIELD, KAREN MARIE","07","Unavailable","079917897","GYLUH9UXHDX5","079917897","GYLUH9UXHDX5","US","36.143784","-86.800995","10040927","VANDERBILT UNIVERSITY MEDICAL CENTER","NASHVILLE","TN","Independent Hospitals","372320011","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","397","Research Centers","2024","200000"," ","OD","114286","85714"," ","NCI","11140045","9/9/2024 12:00:00 AM","PA-20-272","3U54CA163072-15S1","3","U54","CA","163072","15","S1","WALI, ANIL","9/21/2011 12:00:00 AM","8/31/2026 12:00:00 AM","ZCA1(A1)-S"," ","200000",
"No NIH Category available"," ","Returning to Everyday Tasks Utilizing Rehabilitation Networks-III Pilot Randomized Clinical Trial (RETURN-III Pilot RCT)","Millions of patients survive care in medical and surgical Intensive Care Units (ICUs) every year onlyto suffer from a new or accelerated dementia-like process called post-ICU long-term cognitiveimpairment (ICU-LTCI). ICU-LTCI causes considerable problems with personal relationships returnto work and everyday tasks such as managing medicines and money. No treatment for thesepatients is currently available. Technology using computerized cognitive rehabilitation could improveICU-LTCI by harnessing the healing potential of the brain (i.e. neuroplasticity). This intervention isscalable portable and economical. We will evaluate the effectiveness of computerized cognitiverehabilitation in a randomized controlled trial of 160 VA patients with ICU-LTCI. We hypothesize thatthis intervention could improve cognition and brain structure shown by MRI. This research has highpotential to influence rehabilitation strategies for Veteran and civilian ICU survivors.","6406882","ELY, E WESLEY","PATEL, MAYUR B","05","Unavailable","156385783","M4CNTUL3N9L7","156385783","M4CNTUL3N9L7","US","35.9273","-86.381058","481084","VETERANS HEALTH ADMINISTRATION","NASHVILLE","TN","Independent Hospitals","372122637","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","999","Non-SBIR/STTR","2024"," "," "," "," "," "," ","VA","11123076","9/10/2024 12:00:00 AM","RFA-RX-19-010","5I01RX002992-05","5","I01","RX","002992","05"," "," ","6/1/2020 12:00:00 AM","5/31/2026 12:00:00 AM","Behavioral Health & Social Reintegration[RRD4]"," "," ",
"No NIH Category available"," ","Sympathetic modulation of head and neck cancer pain","PROJECT NARRATIVEHead and neck cancer patients experience severe pain and stress. The proposed studies investigate howsympathetic and sensory nerves interact to drive cancer pain and promote cancer growth. This approach hasthe potential for new therapeutic strategies to treat cancer progression and pain by targeting neurons.","11641494","SCHEFF, NICOLE N","Not Applicable","12","NEUROSCIENCES","004514360","MKAGLD59JRL1","004514360","MKAGLD59JRL1","US","40.440909","-79.959125","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PITTSBURGH","PA","SCHOOLS OF MEDICINE","152133320","UNITED STATES","N","7/1/2024 12:00:00 AM","12/31/2024 12:00:00 AM","121","Non-SBIR/STTR","2024","48018"," ","NIDCR","30200","17818"," ","NIDCR","11119039","6/18/2024 12:00:00 AM","PA-18-141","3R01DE030892-04S1","3","R01","DE","030892","04","S1","GHIM, MELISSA M","7/6/2021 12:00:00 AM","12/31/2024 12:00:00 AM","Neurobiology of Pain and Itch Study Section [NPI]"," ","48018",
"No NIH Category available"," ","Assessing and Enhancing Survivorship Care In Rural and Urban Patients with Head and Neck Cancer","PROJECT NARRATIVEThis project is relevant to public health by identifying opportunities to tailor cancer survivorship care programs'policies processes and evaluation/assessment metrics to meet the needs of patients with head and neck cancerliving in urban and rural settings. Thus this project aligns with the National Cancer Institute's mission byadvancing scientific knowledge in cancer survivorship and helping all people live longer healthier lives.","8115176","VAN CLEAVE, JANET H","Not Applicable","18","MISCELLANEOUS","800771594","ZUFBNVZ587D4","800771594","ZUFBNVZ587D4","US","29.703025","-95.403303","578417","UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON","HOUSTON","TX","SCHOOLS OF NURSING","770305400","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","72277"," ","NCI","54603","17674"," ","NCI","11105412","8/22/2024 12:00:00 AM","PA-20-272","3R01CA282149-02S1","3","R01","CA","282149","02","S1","D'ANGELO, HEATHER","9/19/2023 12:00:00 AM","8/31/2028 12:00:00 AM","Special Emphasis Panel[ZRG1(90)-S]"," ","72277",
"No NIH Category available"," ","Applying National Standards to Evaluate Cancer Survivorship Care Quality: A Mixed Methods Study","Project Narrative:The proposed project examines the extent to which the Buffet Cancer Center Survivorship Programaligns with recently developed National Standards for Survivorship Care by evaluating the organizationalpolicies and processes for delivering survivorship care. Document reviews and interviews will be conducted toassess the alignment of current policies and procedures with the National Standards as well as EHR analysesto determine survivorship program utilization and examine referral rates and the number of survivors lostto follow-up across cancer types. Using the National Standards for Survivorship Care as a guidingframework this study seeks to inform policy practice and future research efforts aimed at improving the long-term care and outcomes of cancer survivors in the United States.","8179215","SWEASY, JOANN B.","Not Applicable","02","INTERNAL MEDICINE/MEDICINE","168559177","G15AG3BLLMH4","168559177","G15AG3BLLMH4","US","41.265996","-96.010026","578104","UNIVERSITY OF NEBRASKA MEDICAL CENTER","OMAHA","NE","SCHOOLS OF MEDICINE","681987835","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","397","Research Centers","2024","100000"," ","NCI","65147","34853"," ","NCI","11105387","9/12/2024 12:00:00 AM","PA-20-272","3P30CA036727-38S2","3","P30","CA","036727","38","S2","BELIN, PRECILLA L","9/5/1997 12:00:00 AM","8/31/2026 12:00:00 AM","Cancer Centers Study Section (A)[NCI-A]"," ","100000",
"No NIH Category available"," ","P30 Administrative Supplement for Assessing and Enhancing Survivorship Care","PROJECT NARRATIVEThis project aims to utilize group model building with clinicians patients and families to developthe first qualitative model of childhood cancer survivorship care. The model will identify andanalyze barriers within the care process to improve accessibility and adherence to guidelines innon-specialized clinics. The outcomes will identify optimal targets for improving survivorship carethereby enhancing health equity and improving care delivery for the growing survivor population.","6824984","ROBERTS, CHARLES ","Not Applicable","09","Unavailable","067717892","JL4JHE9SDRR3","067717892","JL4JHE9SDRR3","US","35.155607","-90.045279","7893501","ST. JUDE CHILDREN'S RESEARCH HOSPITAL","MEMPHIS","TN","Independent Hospitals","381053678","UNITED STATES","N","3/1/2024 12:00:00 AM","2/28/2025 12:00:00 AM","397","Research Centers","2024","99999"," ","NCI","54944","45055"," ","NCI","11105305","9/16/2024 12:00:00 AM","PA-20-272","3P30CA021765-45S4","3","P30","CA","021765","45","S4","ROBERSON, SONYA","3/1/2024 12:00:00 AM","2/28/2025 12:00:00 AM"," "," ","99999",
"No NIH Category available"," ","Stanford Cancer Institute","Project NarrativeThe long term-goal of the proposed study is to develop effective strategies to ensure that cancer survivors haveaccess to guideline concordant care and timely referrals to supportive services at Stanford Medicine. The projectwill evaluate Stanfords alignment with recently issued National Standards for Cancer Survivorship Care identifygaps and barriers to effective care delivery and provide data and insights to inform survivorship careimplementation resource allocation and training of professionals to deliver quality survivorship care.","7810696","ARTANDI, STEVEN E","Not Applicable","16","INTERNAL MEDICINE/MEDICINE","009214214","HJD6G4D6TJY5","009214214","HJD6G4D6TJY5","US","37.426852","-122.17047","8046501","STANFORD UNIVERSITY","STANFORD","CA","SCHOOLS OF MEDICINE","943052004","UNITED STATES","N","6/1/2024 12:00:00 AM","5/31/2025 12:00:00 AM","397","Research Centers","2024","100000"," ","NCI","64767","35233"," ","NCI","11105301","8/28/2024 12:00:00 AM","PA-20-272","3P30CA124435-16S2","3","P30","CA","124435","16","S2","BELIN, PRECILLA L","6/4/2007 12:00:00 AM","5/31/2025 12:00:00 AM"," "," ","100000",
"No NIH Category available"," ","Improving Survivorship Care for Adolescents and Young Adults: a Mixed Methods Study of Alignment with the National Standards for Survivorship Care","PROJECT NARRATIVEThis proposal aims to investigate the level of alignment between the survivorship services provided by acomprehensive cancer center and the National Standards for Survivorship Care. Additionally it will analyze theutilization rates of the Survivorship Clinic among a sample of adolescent and young adult cancer survivors whowere initially eligible to take part in a randomized trial involving a mobile app and website designed to reducedistress and enhance adherence to healthcare in the parent grant. Lastly qualitative interviews will beconducted with a subset of AYA participants to explore their experiences and the barriers and facilitators theyencountered in accessing survivorship-focused care.","6185546","BAKER, KEVIN S","Not Applicable","07","Unavailable","806433145","TJFZLPP6NYL6","806433145","TJFZLPP6NYL6","US","47.626482","-122.329606","10068583","FRED HUTCHINSON CANCER CENTER","SEATTLE","WA","Other Domestic Non-Profits","981094433","UNITED STATES","N","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM","393","Non-SBIR/STTR","2024","99903"," ","NCI","56763","43140"," ","NCI","11104634","9/18/2024 12:00:00 AM","PA-20-272","3U01CA246659-03S1","3","U01","CA","246659","03","S1","ADAMS, LYNN S","9/1/2024 12:00:00 AM","8/31/2025 12:00:00 AM"," "," ","99903",
"No NIH Category available"," ","Administrative Supplement for Assessing and Enhancing Survivorship Care","PROJECT NARRATIVEThe Atrium Health Wake Forest Baptist Comprehensive Cancer Center (AHWFBCCC) catchment areaincludes 4.8 million residents about one-third racial/ethnic minority and a significant rural footprint. Theproposed work will evaluate the extent to which survivorship care programs in this multidimensional health caresystem align with recently developed National Standards for Survivorship Care through a mixed-methodsaction planning process that considers different contexts in depth and will inform future implementation ofoptimized survivorship care. Establishing a systematic process for assessing and improving accessiblesurvivorship care with a balance of common unified services and variations tailored to local demands willposition AHWFBCCC to contribute to a broader understanding of what survivorship care models are optimallyeffective in diverse populations.","1938118","MESA, RUBEN A.","Not Applicable","05","INTERNAL MEDICINE/MEDICINE","937727907","SN7KD2UK7GC5","937727907","SN7KD2UK7GC5","US","36.059402","-80.321981","9021205","WAKE FOREST UNIVERSITY HEALTH SCIENCES","WINSTON-SALEM","NC","SCHOOLS OF MEDICINE","271570001","UNITED STATES","N","2/1/2024 12:00:00 AM","1/31/2025 12:00:00 AM","397","Research Centers","2024","99992"," ","NCI","64511","35481"," ","NCI","11104201","8/26/2024 12:00:00 AM","PA-20-272","3P30CA012197-49S2","3","P30","CA","012197","49","S2","BELIN, PRECILLA L","2/1/1997 12:00:00 AM","1/31/2027 12:00:00 AM"," "," ","99992",
"No NIH Category available"," ","Administrative Supplement: Assessing and Enhancing Survivorship Care","EXPOSURE: Project NarrativeAlthough engagement in long-term follow-up survivor care is critical to the lifelong health of the growingchildhood cancer survivor (CCS) population >25% of CCS are not accessing survivor care nationally.Understanding the factors impacting the landscape of pediatric survivor care (e.g. institutional uptake ofstandards population reach patient engagement) may reduce gaps in care delivery for CCS. The objectives ofthis supplement to the Winship Cancer Institute's NCI-designated P30 Cancer Center grant are to examine: 1)the alignment of the care offered to pediatric CCS with the National Standards for Survivorship Care 2) thelong-term utilization of pediatric survivor services and 3) patient- and family-level factors related to long-termengagement in survivor care.","8576769","RAMALINGAM, SURESH S","Not Applicable","05","INTERNAL MEDICINE/MEDICINE","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.791247","-84.3249","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303221007","UNITED STATES","N","9/17/2024 12:00:00 AM","3/31/2025 12:00:00 AM","397","Research Centers","2024","99935"," ","NCI","63856","36079"," ","NCI","11104105","9/17/2024 12:00:00 AM","PA-20-272","3P30CA138292-15S2","3","P30","CA","138292","15","S2","HE, MIN","4/7/2009 12:00:00 AM","3/31/2028 12:00:00 AM"," "," ","99935",
"No NIH Category available"," ","Cancer Center Support Grant - Gunn Supplement","Project NarrativeEven after completing cancer treatment cancer survivors have increased health risks compared with thegeneral population necessitating ongoing care through survivorship programs. This project will assessDartmouth Cancer Centers survivorship services against a new set of national standards for survivorshipprograms to identify areas where Dartmouth Cancer Centers program can be enhanced to meet ruralsurvivors needs and engage them in care through digital tools and other innovative solutions. The project willproduce a set of recommendations for quality improvement initiatives to support lasting impacts on survivorshipcare delivery and outcomes for survivors in rural areas.","1899930","LEACH, STEVEN D","Not Applicable","02","INTERNAL MEDICINE/MEDICINE","041027822","EB8ASJBCFER9","041027822","EB8ASJBCFER9","US","43.711386","-72.270611","2021601","DARTMOUTH COLLEGE","HANOVER","NH","SCHOOLS OF MEDICINE","037551421","UNITED STATES","N","9/1/2024 12:00:00 AM","11/30/2024 12:00:00 AM","397","Research Centers","2024","99999"," ","NCI","60975","39024"," ","NCI","11104097","8/30/2024 12:00:00 AM","PA-20-272","3P30CA023108-45S2","3","P30","CA","023108","45","S2","BELIN, PRECILLA L","9/1/2024 12:00:00 AM","11/30/2024 12:00:00 AM"," "," ","99999",
"No NIH Category available"," ","Assessing Markey Cancer Center's Alignment with National Standards for Survivorship Care","PROJECT NARRATIVE Markey Cancer Center is the only NCI-designated Comprehensive Cancer Center in the state ofKentucky and its catchment area includes all 120 counties in Kentucky. The mission of Markey CancerCenter is to reduce cancer burden which necessitates translating scientific discoveries into innovativepersonalized care and providing the highest quality care to cancer survivors. This administrative supplementaims to assess alignment between survivorship care at Markey Cancer Center and the National Standardsfor Cancer Survivorship Care identify determinants of survivorship care access for survivors and theircaregivers and identify implementation strategies to improve quality effectiveness adoption and reach ofsurvivorship care at Markey.","1901765","EVERS, BERNARD MARK","Not Applicable","06","SURGERY","939017877","H1HYA8Z1NTM5","939017877","H1HYA8Z1NTM5","US","38.040959","-84.505885","2793601","UNIVERSITY OF KENTUCKY","LEXINGTON","KY","SCHOOLS OF MEDICINE","405260001","UNITED STATES","N","7/1/2024 12:00:00 AM","6/30/2025 12:00:00 AM","397","Research Centers","2024","100593"," ","NCI","65320","35273"," ","NCI","11103963","9/4/2024 12:00:00 AM","PA-20-272","3P30CA177558-12S2","3","P30","CA","177558","12","S2","ROBERSON, SONYA","7/8/2013 12:00:00 AM","6/30/2028 12:00:00 AM","ZCA1(M1)"," ","100593",
